id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000001,スプリガン,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::776baf913267cf1e7907ffd3af66b25f70731c773071818fc528b50ee99d41f9,2026-09-12
A00000002,ワンダーエッグ・プライオリティ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::349b0a8c5b2f5789e54c0a93fa8a677ef2e72aa475a7e68c06bf94abad180a3d,2026-09-12
A00000003,東京リベンジャーズ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6ec59276ce0984817ea05015ad5392e5aaf2252dcc01d4f3418420f47f2f24b0,2026-09-12
A00000004,劇場版 ハイスクール・フリート,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::74aa8d4515724f8b27cde5e7e165be2bfb799fe1e639d1a97847b69593da6dcd,2026-09-12
A00000005,魔法少女サイト,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2da3d2a34af1ad6a8b20acd838c626c186cb049a6892d8b78c58306a9a32d034,2026-09-12
A00000006,ランウェイで笑って,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d730297d7055fa8441ed99f707e624d1cd7b81c933ee5fb916e4a0e7f9a8de1c,2026-09-12
A00000007,舞妓さんちのまかないさん,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::30fe6f376ae1732ac1f3287aebe08a6be0a01b6e88d5550e5092cd3087bf51d2,2026-09-12
A00000008,ひだまりスケッチ,,,,,TV,,,,,S6209f358f2e9be14915ffb2de229e000530d5dba18c3a16282d9d9a493104289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e116a1743151aeb89f604d2021b23d7d7603a0fee2a66a2f4b7ec99d0993795d,2026-09-12
A00000009,城下町のダンデライオン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::baaa876aafe672a5fe541e4470feac9df19f644c7f501a70835ddaadbde3550e,2026-09-12
A00000010,アリスと蔵六,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::52d18e02bbed20d75941dab055d138d0327e87ea8c58d393ebd5e9cae27dd586,2026-09-12
